4145962_0	tell me what is the people 's job title	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_94	find people with less than 3 awards and show their email and telephone .	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_95	show the telephone and email for people with under 4 awards .	[ email , telephone ] of @org.schema.Person . Person ( ) filter count ( award ) <= 3 ;
4145962_96	list all people with 5 awards tops that have the job title QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter count ( award ) <= 5 && jobTitle =~ QUOTED_STRING_0 ;
4145962_97	show all people with at most 5 awards that have job title QUOTED_STRING_0 .	@org.schema.Person . Person ( ) filter count ( award ) <= 5 && jobTitle =~ QUOTED_STRING_0 ;
4145962_98	what are the phone numbers of people with at least 10 awards ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_99	find me phone number of people with 10 awards minimum .	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_100	what 's the college degree of people with 1 language mastered ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_101	what are the college degrees of people who have mastered one language ?	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_102	of people with work location here , find me the college degrees the people with at most 10 employers .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_103	of people whose work location is here , find me their college degrees if those people have at most 10 employers .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_105	find people work work as QUOTED_STRING_0 s who have no more than 5 awards	@org.schema.Person . Person ( ) filter count ( award ) <= 5 && jobTitle =~ QUOTED_STRING_0 ;
4145962_106	find people with at least 10 awards and list their phone numbers	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_107	find the phone numbers of those people who have at least 10 awards	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_108	show me the college degrees for the people who have graduated mastering only one language	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_109	of those who graduated mastering one language , show me their college degree fields	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_110	find people who graduated and now work here , who have worked for 10 employers at most , then show me their degrees	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_111	show me the degrees for graduate employees that show at most 10 employers	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_112	fetch all people with at most 5 awards that have job title being QUOTED_STRING_0	@org.schema.Person . Person ( ) filter count ( award ) <= 5 && jobTitle =~ QUOTED_STRING_0 ;
4145962_113	grab all people with at most 5 awards that have job title being QUOTED_STRING_0	@org.schema.Person . Person ( ) filter count ( award ) <= 5 && jobTitle =~ QUOTED_STRING_0 ;
4145962_114	i would love to know the phone number of people with at least 10 awards .	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_115	i would desire to know the phone number of people with at least 10 awards .	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) >= 10 ;
4145962_116	show me what 's the college degrees that people with 1 language mastered graduated	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_117	text me what 's the college degrees that people with 1 language mastered graduated	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) == 1 ;
4145962_118	i am seeking for college degrees the people with at most 10 employers and work location here were graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_119	i am searching for college degrees the people with at most 10 employers and work location here were graduated .	[ alumniOf ] of @org.schema.Person . Person ( ) filter count ( worksFor ) <= 10 && workLocation == $location . current_location ;
4145962_120	i 'd like to find those persons named QUOTED_STRING_0 who went to norfolk state college and are fluent in danish .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " norfolk state " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) && id =~ QUOTED_STRING_0 ;
4145962_122	tell me what the person 's job position is .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_123	i am interested in knowing what the position is of the person .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_124	what is the link belonging to the individuals who are fluent in over 12 languages ?	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_125	which links connect to those people who have mastered an amount of languages greater than 12 ?	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_126	i want to find out the workplace location of people that have american international college alma maters .	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_127	locate the job sites of those individuals who attended american international college .	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_128	find me QUOTED_STRING_0 who has mastered danish and attended norfolk state .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " norfolk state " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) && id =~ QUOTED_STRING_0 ;
4145962_129	locate QUOTED_STRING_0 who has mastery of danish and alma mater norfolk state .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " norfolk state " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) && id =~ QUOTED_STRING_0 ;
4145962_130	what is this person 's position ?	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_131	show me the position / job title of this person .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_132	what links do people with 12 plus languages mastered have ?	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_133	show me the links of people with 12 + languages mastered .	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_134	i am looking for where alma maters of american international college work .	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_135	show me the work location of people the graduated from american international college .	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_136	i desire to get some QUOTED_STRING_0 person which have languages mastered danish , with universities containing norfolk state .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " norfolk state " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) && id =~ QUOTED_STRING_0 ;
4145962_137	i demand to get some QUOTED_STRING_0 person which have languages mastered danish , with universities containing norfolk state .	@org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " norfolk state " ) ) && contains ( knowsLanguage , null ^^tt:iso_lang_code ( " danish " ) ) && id =~ QUOTED_STRING_0 ;
4145962_138	i desire to know the position of person .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_139	i demand to know the position of person .	[ jobTitle ] of @org.schema.Person . Person ( ) ;
4145962_140	which link do person with more than 12 languages mastered have	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_141	what url do person with more than 12 languages mastered have	[ url ] of @org.schema.Person . Person ( ) filter count ( knowsLanguage ) >= 12 ;
4145962_142	i am searching for the work location of person with alma maters american international college	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_143	i am seeking for the work location of person with alma maters american international college	[ workLocation ] of @org.schema.Person . Person ( ) filter contains ( alumniOf , null ^^org.schema.Person:Organization ( " american international college " ) ) ;
4145962_144	list every person that has either catalan or azerbaijan in their languages mastered .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_145	list every person with catalan or azerbaijan in their mastered languages .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_146	show me people with at least 5 awards who know english .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_147	show me people with 5 + awards who know english .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_148	what is the phone number of those people with 12 awards ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_149	what are the phone numbers of people that have 12 awards ?	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_150	show me people with no fewer than 11 universities and listed work location here .	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_151	which people have 11 + universities and have a listed work location of here ?	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_152	list the names of people who have mastered the catalan or azerbaijan languages	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_153	find me everyone who has mastered the languages of catalan or azerbaijan .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_154	find people who know english and have at least 5 awards	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_155	show people with 5 awards or more who also speak english	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_156	find people that have 12 awards and give me their phone numbers	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_157	get the phone numbers for those people who have exactly 12 awards	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_158	find people who work here and also show more than 11 universities	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_159	look through the people with more than 11 universities that work here	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_160	i demand every people that have either catalan or azerbaijan in the languages mastered .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_161	i desire every people that have either catalan or azerbaijan in the languages mastered .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " catalan " ) ) || contains ( knowsLanguage , null ^^tt:iso_lang_code ( " azerbaijan " ) ) ;
4145962_162	present to me person with at least 5 awards which knows english .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_163	get person with at least 5 awards which knows english .	@org.schema.Person . Person ( ) filter contains ( knowsLanguage , null ^^tt:iso_lang_code ( " english " ) ) && count ( award ) >= 5 ;
4145962_164	text me what is the phone number of people having 12 awards .	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_165	fetch me what is the phone number of people having 12 awards .	[ telephone ] of @org.schema.Person . Person ( ) filter count ( award ) == 12 ;
4145962_166	seek any people with more than 11 universities and work location here .	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_167	find any people with more than 11 universities and work location here .	@org.schema.Person . Person ( ) filter count ( alumniOf ) >= 11 && workLocation == $location . current_location ;
4145962_168	can you give me the college degrees for QUOTED_STRING_0 who have work location equal to here and is educated	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . current_location ;
4145962_169	for QUOTED_STRING_0 people who are educated and have a work location equal to here , give me the college degrees	[ alumniOf ] of @org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . current_location ;
4145962_170	can i have the email of people with 6 universities	[ email ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) == 6 ;
4145962_171	for people with 6 universities , give me the email	[ email ] of @org.schema.Person . Person ( ) filter count ( alumniOf ) == 6 ;
4145962_172	make me a list for all QUOTED_STRING_0 people who have the work location home	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . home ;
4145962_173	for QUOTED_STRING_0 people with the work location home , give me a list	@org.schema.Person . Person ( ) filter id =~ QUOTED_STRING_0 && workLocation == $location . home ;
4145962_174	i need the person 's link and telephone	[ telephone , url ] of @org.schema.Person . Person ( ) ;
4145962_175	get me the telephone and link of people	[ telephone , url ] of @org.schema.Person . Person ( ) ;
